Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.571552	22283	16	marketing	48.74	2	2024-08-02	SC	3-Day	play
I	2025-03-29 18:06:59.571565	91823	39	marketing	37.56	2	2023-10-13	CT	Standard	play
I	2025-03-29 18:06:59.571571	34705	53	marketing	65.13	1	2024-02-18	NY	2-Day	others
I	2025-03-29 18:06:59.571576	34914	62	market	28.68	4	2023-01-03	FL	3-Day	play
I	2025-03-29 18:06:59.571580	73880	90	market	41.54	1	2022-02-07	CT	3-Day	search
I	2025-03-29 18:06:59.571585	38874	18	marketing	48.45	4	2022-11-23	VI	Overnight	management
I	2025-03-29 18:06:59.571589	75199	42	market	53.19	3	2024-04-03	FL	2-Day	search
I	2025-03-29 18:06:59.571597	45129	11	language	50.85	4	2021-09-02	VI	2-Day	others
I	2025-03-29 18:06:59.571602	12740	96	market	73.13	1	2023-04-01	VI	3-Day	others
I	2025-03-29 18:06:59.571606	38044	20	school	50.29	4	2021-08-20	CA	Standard	play
I	2025-03-29 18:06:59.571610	80295	22	language	33.87	4	2024-11-01	SC	Standard	search
I	2025-03-29 18:06:59.571614	61381	54	marketing	27.93	1	2023-03-06	FL	Overnight	book
I	2025-03-29 18:06:59.571618	63768	99	bit	18.71	1	2021-12-20	NY	Standard	book
I	2025-03-29 18:06:59.571621	68754	18	market	90.03	4	2023-03-29	VI	Standard	trouble
I	2025-03-29 18:06:59.571625	84099	54	degree	81.08	4	2023-05-08	TX	3-Day	trouble
I	2025-03-29 18:06:59.571629	57799	72	market	49.73	5	2022-08-04	NY	2-Day	play
I	2025-03-29 18:06:59.571633	27883	49	degree	88.58	3	2024-01-27	PW	2-Day	book
I	2025-03-29 18:06:59.571637	49543	39	market	67.69	4	2024-05-25	TX	3-Day	play
I	2025-03-29 18:06:59.571640	35476	56	bit	39.18	5	2022-08-11	NY	Standard	management
I	2025-03-29 18:06:59.571644	64169	35	bit	40.45	5	2023-09-21	NY	Overnight	play
I	2025-03-29 18:06:59.571648	22056	85	marketing	66.83	5	2021-08-10	FL	Standard	trouble
I	2025-03-29 18:06:59.571651	33097	26	bit	91.03	1	2022-05-04	VI	Standard	play
I	2025-03-29 18:06:59.571655	87849	86	degree	63.75	2	2024-08-05	SC	2-Day	management
I	2025-03-29 18:06:59.571658	54319	22	market	59.51	3	2023-12-19	FL	Overnight	play
I	2025-03-29 18:06:59.571662	32239	23	bit	28.65	1	2023-06-29	SC	2-Day	trouble
I	2025-03-29 18:06:59.571665	89134	57	degree	24.79	1	2021-09-17	VI	Standard	management
I	2025-03-29 18:06:59.571669	50213	97	school	67.24	5	2021-09-30	CA	Standard	play
I	2025-03-29 18:06:59.571673	64910	51	market	38.24	5	2024-10-21	FL	Overnight	others
I	2025-03-29 18:06:59.571676	83541	58	marketing	63.63	5	2023-11-30	NY	3-Day	others
I	2025-03-29 18:06:59.571680	95047	69	market	12.23	5	2024-09-23	PW	Overnight	search
I	2025-03-29 18:06:59.571683	60559	39	degree	69.45	4	2023-10-18	SC	Standard	others
I	2025-03-29 18:06:59.571687	25673	25	school	28.01	5	2021-10-05	NY	Overnight	book
I	2025-03-29 18:06:59.571691	70667	95	bit	88.44	4	2023-05-19	SC	3-Day	book
I	2025-03-29 18:06:59.571695	62021	73	language	55.04	4	2024-08-02	TX	Overnight	play
