Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
U	2025-03-29 18:06:59.597163	16977	94	marketing	34.24332389370778	1	2022-06-16	PW	Standard	others
U	2025-03-29 18:06:59.597257	22574	23	marketing	83.70451023719181	3	2023-12-20	TX	2-Day	trouble
U	2025-03-29 18:06:59.597000	60901	68	marketing	66.61364612297791	2	2022-04-08	CA	Standard	search
U	2025-03-29 18:06:59.597035	41193	51	business	78.62497242839605	3	2023-01-09	SC	2-Day	others
U	2025-03-29 18:06:59.597143	22274	60	marketing	95.5417213874539	2	2021-04-28	FL	3-Day	book
U	2025-03-29 18:06:59.596988	43644	81	marketing	38.7257090548599	2	2023-07-05	TX	Standard	management
U	2025-03-29 18:06:59.597129	91505	98	marketing	58.95696103997442	4	2024-06-15	CA	Standard	others
U	2025-03-29 18:06:59.597233	71667	83	marketing	67.75835322105844	1	2022-01-29	CA	Standard	trouble
U	2025-03-29 18:06:59.597054	96816	11	marketing	58.73996051891782	5	2021-10-31	NY	3-Day	search
U	2025-03-29 18:06:59.597282	95722	36	business	61.128907203644644	1	2023-09-22	NY	2-Day	book
U	2025-03-29 18:06:59.597319	68999	54	marketing	50.58279596196922	2	2022-03-13	CT	3-Day	search
U	2025-03-29 18:06:59.597187	39807	68	marketing	33.142916285764926	4	2021-01-11	SC	3-Day	others
U	2025-03-29 18:06:59.597226	87777	92	marketing	46.24338640653515	3	2021-11-07	CT	Overnight	play
U	2025-03-29 18:06:59.597100	24481	27	business	84.11413528528179	3	2023-01-30	VI	2-Day	search
U	2025-03-29 18:06:59.597167	80873	57	marketing	54.10250634504505	1	2023-01-10	SC	Standard	book
U	2025-03-29 18:06:59.597268	89951	40	marketing	94.97263252561544	3	2024-07-09	FL	3-Day	book
U	2025-03-29 18:06:59.597107	79074	68	business	77.29027633291746	2	2021-09-12	FL	2-Day	search
U	2025-03-29 18:06:59.597150	78307	71	marketing	14.622422470785363	4	2022-02-01	CT	Standard	others
U	2025-03-29 18:06:59.597020	36613	56	marketing	84.95294920349247	1	2021-03-02	CT	Standard	trouble
U	2025-03-29 18:06:59.597236	36705	68	marketing	81.45543299858554	5	2022-07-10	FL	Standard	search
