Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.590743	20272	92	language	74.92	1	2021-11-19	CA	Overnight	management
I	2025-03-29 18:06:59.590748	71101	12	marketing	91.86	2	2022-12-28	TX	2-Day	book
I	2025-03-29 18:06:59.590752	59434	44	bit	78.6	3	2021-10-16	FL	Overnight	play
I	2025-03-29 18:06:59.590756	21569	41	school	27.37	4	2022-08-23	VI	Standard	others
I	2025-03-29 18:06:59.590760	34104	93	degree	83.34	2	2021-06-15	VI	3-Day	play
I	2025-03-29 18:06:59.590764	66993	63	market	17.5	1	2021-12-27	FL	2-Day	management
I	2025-03-29 18:06:59.590768	85500	83	bit	34.5	5	2021-11-01	FL	Overnight	trouble
I	2025-03-29 18:06:59.590772	86825	71	market	63.58	5	2021-08-31	FL	Standard	play
I	2025-03-29 18:06:59.590776	30963	28	bit	42.02	1	2022-02-01	FL	3-Day	play
I	2025-03-29 18:06:59.590780	51897	70	school	39.14	1	2023-03-29	PW	Overnight	trouble
I	2025-03-29 18:06:59.590784	30771	76	market	33.43	4	2024-12-08	NY	3-Day	management
I	2025-03-29 18:06:59.590788	48198	27	degree	30.89	2	2022-03-28	VI	3-Day	others
I	2025-03-29 18:06:59.590791	90744	23	market	47.5	1	2022-05-18	PW	3-Day	play
I	2025-03-29 18:06:59.590795	54027	90	market	81.69	1	2021-02-03	FL	2-Day	play
I	2025-03-29 18:06:59.590799	55992	23	bit	32.59	2	2024-11-14	CT	2-Day	others
I	2025-03-29 18:06:59.590802	95519	74	market	96.04	5	2024-05-31	CA	Overnight	book
I	2025-03-29 18:06:59.590806	13256	90	bit	80.14	3	2022-12-01	TX	Standard	management
I	2025-03-29 18:06:59.590809	97087	12	bit	57.73	2	2024-06-13	VI	Overnight	search
I	2025-03-29 18:06:59.590813	23153	34	bit	45.67	3	2022-01-24	CA	Standard	others
I	2025-03-29 18:06:59.590816	92705	56	bit	99.96	1	2021-07-25	VI	Overnight	search
I	2025-03-29 18:06:59.590820	75716	52	degree	87.73	2	2021-04-27	VI	3-Day	search
I	2025-03-29 18:06:59.590823	21716	85	degree	26.23	4	2024-09-17	CA	3-Day	trouble
I	2025-03-29 18:06:59.590827	86013	97	language	43.72	5	2024-11-27	FL	Standard	search
I	2025-03-29 18:06:59.590831	37196	12	school	28.45	5	2021-07-02	TX	Overnight	play
I	2025-03-29 18:06:59.590834	28246	64	market	28.71	3	2022-04-26	CT	2-Day	management
I	2025-03-29 18:06:59.590838	61745	73	market	50.55	5	2024-09-03	VI	Overnight	trouble
I	2025-03-29 18:06:59.590841	48055	52	market	28.78	3	2021-05-29	SC	Overnight	others
I	2025-03-29 18:06:59.590845	88426	57	marketing	53.14	5	2021-08-05	CA	2-Day	book
I	2025-03-29 18:06:59.590848	31178	99	school	29.85	2	2023-04-09	CT	Overnight	search
I	2025-03-29 18:06:59.590852	40203	64	school	26.2	3	2021-08-08	NY	3-Day	others
I	2025-03-29 18:06:59.590856	16371	12	marketing	84.12	1	2024-05-11	PW	Standard	management
I	2025-03-29 18:06:59.590859	80770	34	market	39.3	5	2024-06-28	FL	Overnight	play
I	2025-03-29 18:06:59.590866	61968	57	market	22.76	2	2021-04-24	TX	Standard	book
I	2025-03-29 18:06:59.590870	69897	54	bit	44.25	2	2022-11-10	PW	Overnight	book
I	2025-03-29 18:06:59.590873	20652	99	language	85.5	4	2022-06-06	TX	3-Day	book
I	2025-03-29 18:06:59.590877	47190	80	language	25.96	5	2023-08-19	SC	2-Day	search
I	2025-03-29 18:06:59.590881	88811	18	language	74.8	2	2023-08-27	CA	3-Day	management
I	2025-03-29 18:06:59.590884	85521	10	degree	70.15	2	2023-01-30	VI	2-Day	others
I	2025-03-29 18:06:59.590888	29001	78	degree	86.49	3	2022-08-29	FL	3-Day	others
I	2025-03-29 18:06:59.590891	53814	93	market	37.21	5	2024-07-07	CA	Overnight	search
I	2025-03-29 18:06:59.590895	30341	81	language	85.87	3	2021-01-06	SC	2-Day	search
I	2025-03-29 18:06:59.590899	90210	57	degree	78.22	3	2023-11-24	TX	3-Day	management
I	2025-03-29 18:06:59.590902	27039	98	bit	31.85	3	2024-07-17	NY	Overnight	play
I	2025-03-29 18:06:59.590906	96369	66	marketing	14.41	4	2023-07-20	CT	3-Day	book
I	2025-03-29 18:06:59.590909	77719	18	marketing	87.41	3	2021-01-12	NY	Overnight	others
I	2025-03-29 18:06:59.590913	60334	93	market	64.98	3	2022-09-17	CT	2-Day	book
I	2025-03-29 18:06:59.590917	21315	18	degree	48.92	5	2024-10-21	SC	Overnight	trouble
I	2025-03-29 18:06:59.590920	22962	49	degree	52.87	5	2022-04-04	FL	3-Day	management
I	2025-03-29 18:06:59.590924	59755	46	school	64.64	3	2021-10-07	FL	3-Day	management
I	2025-03-29 18:06:59.590928	71390	25	market	37.42	5	2021-06-14	CA	Overnight	others
I	2025-03-29 18:06:59.590931	50316	71	bit	22.66	4	2022-08-09	CT	Standard	others
I	2025-03-29 18:06:59.590935	52398	90	market	94.86	4	2021-05-07	PW	Standard	management
I	2025-03-29 18:06:59.590938	96429	75	language	89.69	2	2022-10-23	CT	2-Day	book
I	2025-03-29 18:06:59.590942	70522	44	school	60.04	4	2022-06-01	FL	3-Day	book
I	2025-03-29 18:06:59.590946	44426	40	language	33.19	2	2024-02-19	PW	Standard	search
I	2025-03-29 18:06:59.590950	61428	21	degree	57.45	3	2022-08-28	FL	Overnight	others
I	2025-03-29 18:06:59.590953	62957	75	language	97.85	2	2024-07-04	TX	2-Day	search
I	2025-03-29 18:06:59.590957	15964	48	bit	84.65	3	2024-05-07	CA	Overnight	play
I	2025-03-29 18:06:59.590961	58117	95	school	14.17	4	2024-08-30	VI	Overnight	play
I	2025-03-29 18:06:59.590964	78125	17	bit	52.04	5	2023-06-25	NY	Overnight	trouble
I	2025-03-29 18:06:59.590968	84638	94	degree	34.76	5	2024-05-17	TX	3-Day	book
I	2025-03-29 18:06:59.590971	95014	27	market	16.49	1	2021-02-13	CA	Overnight	book
I	2025-03-29 18:06:59.590975	48480	14	language	42.84	3	2021-10-14	NY	2-Day	book
I	2025-03-29 18:06:59.590978	12390	44	bit	55.83	3	2022-12-02	CT	3-Day	search
I	2025-03-29 18:06:59.590982	76507	40	school	13.24	1	2024-07-31	FL	Standard	play
I	2025-03-29 18:06:59.590986	90037	17	bit	16.72	4	2021-04-10	FL	2-Day	others
I	2025-03-29 18:06:59.590989	26853	38	marketing	52.38	3	2023-06-05	VI	2-Day	play
I	2025-03-29 18:06:59.590993	96299	34	bit	16.78	2	2024-10-14	CA	2-Day	others
I	2025-03-29 18:06:59.590997	84590	84	school	11.76	1	2022-05-24	NY	Standard	search
I	2025-03-29 18:06:59.591000	17941	71	marketing	18.04	2	2022-10-02	VI	Standard	others
I	2025-03-29 18:06:59.591004	11113	22	degree	45.12	3	2021-10-27	SC	2-Day	management
I	2025-03-29 18:06:59.591007	59538	74	degree	57.6	5	2021-01-24	CA	Overnight	trouble
I	2025-03-29 18:06:59.591011	82833	43	degree	87.47	2	2024-08-21	FL	2-Day	management
I	2025-03-29 18:06:59.591015	74447	59	school	83.88	1	2023-03-23	CA	3-Day	book
I	2025-03-29 18:06:59.591018	45544	38	bit	59.98	4	2024-12-05	CA	3-Day	book
I	2025-03-29 18:06:59.591022	34165	81	marketing	23.39	5	2021-05-07	SC	3-Day	management
I	2025-03-29 18:06:59.591026	52854	86	language	40.8	5	2024-07-16	CA	Standard	search
I	2025-03-29 18:06:59.591030	67745	59	language	49.5	2	2023-12-08	PW	Standard	book
I	2025-03-29 18:06:59.591033	14551	17	degree	45.54	3	2021-07-26	FL	Overnight	play
I	2025-03-29 18:06:59.591037	72706	15	marketing	31.77	5	2023-12-24	NY	2-Day	management
I	2025-03-29 18:06:59.591040	24945	44	school	45.62	1	2021-10-22	CA	Standard	search
I	2025-03-29 18:06:59.591044	64906	41	degree	59.27	4	2021-07-31	TX	2-Day	trouble
I	2025-03-29 18:06:59.591048	10546	20	school	79.27	1	2022-01-30	FL	Overnight	search
I	2025-03-29 18:06:59.591051	27141	96	marketing	58.72	5	2024-03-30	CA	Standard	others
I	2025-03-29 18:06:59.591055	38702	95	marketing	78.62	5	2023-07-14	NY	Overnight	management
I	2025-03-29 18:06:59.591058	74621	76	marketing	46.24	4	2022-12-03	FL	Standard	search
I	2025-03-29 18:06:59.591062	59291	93	language	56.92	5	2024-03-25	NY	Overnight	play
I	2025-03-29 18:06:59.591066	77375	64	bit	79.9	3	2021-06-30	NY	2-Day	book
I	2025-03-29 18:06:59.591069	63586	67	degree	93.48	3	2024-10-22	CT	Overnight	book
I	2025-03-29 18:06:59.591073	99446	44	degree	10.71	5	2021-02-09	VI	Overnight	others
I	2025-03-29 18:06:59.591076	36545	11	marketing	34.62	5	2023-08-25	TX	Overnight	play
I	2025-03-29 18:06:59.591080	90838	33	bit	72.19	3	2022-06-10	TX	Overnight	book
I	2025-03-29 18:06:59.591084	75349	53	school	18.55	5	2023-11-13	PW	Standard	book
I	2025-03-29 18:06:59.591088	52281	45	bit	82.01	4	2023-01-02	NY	3-Day	search
I	2025-03-29 18:06:59.591091	92686	82	school	30.91	3	2021-12-01	SC	3-Day	search
I	2025-03-29 18:06:59.591095	78071	80	marketing	55.05	5	2023-09-21	TX	3-Day	management
I	2025-03-29 18:06:59.591099	80263	49	school	61.27	4	2023-11-20	NY	3-Day	play
I	2025-03-29 18:06:59.591103	89064	49	bit	99.14	1	2021-08-27	SC	3-Day	play
I	2025-03-29 18:06:59.591106	97709	34	school	18.81	5	2022-08-12	TX	Standard	trouble
I	2025-03-29 18:06:59.591110	86712	91	marketing	86.42	3	2022-12-31	VI	Overnight	play
