Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.595267	23057	25	market	27.64	2	2022-05-14	CT	Overnight	book
I	2025-03-29 18:06:59.595275	23824	33	degree	64.9	1	2022-04-29	CT	2-Day	search
I	2025-03-29 18:06:59.595280	60273	29	school	47.27	4	2022-10-30	VI	Overnight	book
I	2025-03-29 18:06:59.595284	81888	76	marketing	77.41	3	2022-11-26	VI	Standard	management
I	2025-03-29 18:06:59.595288	72439	15	marketing	25.58	2	2023-07-21	CA	2-Day	trouble
I	2025-03-29 18:06:59.595293	17095	63	school	61.29	1	2022-08-08	FL	Overnight	management
I	2025-03-29 18:06:59.595296	69219	39	degree	35.93	4	2024-09-11	SC	Standard	trouble
I	2025-03-29 18:06:59.595301	61678	83	language	25.78	3	2021-06-07	SC	2-Day	play
I	2025-03-29 18:06:59.595304	57610	18	language	51.95	2	2021-05-24	FL	2-Day	trouble
I	2025-03-29 18:06:59.595308	18292	25	language	74.51	1	2024-10-19	CT	3-Day	play
I	2025-03-29 18:06:59.595312	23374	64	market	44.24	2	2024-04-17	CT	3-Day	others
I	2025-03-29 18:06:59.595316	84675	43	language	80.66	4	2024-12-02	VI	Overnight	search
I	2025-03-29 18:06:59.595319	91403	81	marketing	95.2	2	2023-02-10	VI	Overnight	play
I	2025-03-29 18:06:59.595323	56445	88	bit	70.6	4	2021-04-05	FL	2-Day	play
I	2025-03-29 18:06:59.595327	75004	72	language	10.23	1	2021-12-21	NY	2-Day	book
I	2025-03-29 18:06:59.595331	55017	43	marketing	67.1	2	2022-12-18	SC	3-Day	others
I	2025-03-29 18:06:59.595334	44809	16	market	76.24	2	2022-03-10	TX	Overnight	search
I	2025-03-29 18:06:59.595338	44988	16	degree	80.6	4	2021-07-12	VI	2-Day	play
I	2025-03-29 18:06:59.595342	77947	70	school	72.3	3	2021-02-05	VI	Overnight	others
I	2025-03-29 18:06:59.595345	46798	92	school	56.82	4	2022-08-05	NY	Overnight	play
I	2025-03-29 18:06:59.595349	21506	80	marketing	52.05	2	2024-04-11	PW	2-Day	book
I	2025-03-29 18:06:59.595353	15808	11	marketing	41.54	2	2022-08-05	FL	2-Day	management
I	2025-03-29 18:06:59.595356	13322	12	marketing	33.37	4	2024-10-22	NY	Overnight	search
I	2025-03-29 18:06:59.595360	13344	31	degree	16.92	4	2021-10-30	VI	2-Day	others
I	2025-03-29 18:06:59.595363	21785	73	bit	86.5	5	2024-08-10	PW	Standard	others
I	2025-03-29 18:06:59.595367	96612	76	market	59.45	5	2021-04-07	CT	Overnight	trouble
I	2025-03-29 18:06:59.595370	88777	72	school	52.78	5	2024-07-07	CT	2-Day	book
I	2025-03-29 18:06:59.595374	94699	32	market	99.68	2	2021-10-10	PW	Standard	trouble
I	2025-03-29 18:06:59.595378	87448	28	school	80.6	5	2023-01-18	SC	Standard	book
I	2025-03-29 18:06:59.595381	23210	95	school	82.31	5	2024-06-27	CA	Overnight	search
I	2025-03-29 18:06:59.595385	79167	92	market	92.39	5	2022-06-03	SC	Standard	play
I	2025-03-29 18:06:59.595389	82469	93	degree	41.37	3	2021-10-21	FL	3-Day	trouble
I	2025-03-29 18:06:59.595392	20184	79	bit	27.21	3	2021-07-13	CT	Standard	play
I	2025-03-29 18:06:59.595396	86793	81	school	16.39	2	2023-08-18	TX	2-Day	play
I	2025-03-29 18:06:59.595399	47843	90	degree	86.26	2	2021-06-14	CT	3-Day	play
I	2025-03-29 18:06:59.595403	63913	36	bit	97.77	3	2024-11-12	NY	Standard	play
I	2025-03-29 18:06:59.595407	90522	36	degree	47.39	3	2024-10-20	NY	3-Day	others
I	2025-03-29 18:06:59.595410	35279	63	school	72.32	3	2024-02-08	SC	2-Day	others
I	2025-03-29 18:06:59.595414	34527	69	market	80.19	2	2024-12-21	TX	Overnight	book
I	2025-03-29 18:06:59.595418	74789	49	language	70.13	2	2024-12-11	SC	Standard	search
I	2025-03-29 18:06:59.595421	64474	73	bit	86.96	2	2023-04-12	CT	Standard	search
I	2025-03-29 18:06:59.595425	82183	52	language	32.39	3	2022-11-22	CT	3-Day	others
I	2025-03-29 18:06:59.595429	13404	21	marketing	77.0	5	2022-10-13	TX	Standard	search
I	2025-03-29 18:06:59.595432	35040	93	bit	98.42	2	2023-06-23	VI	2-Day	others
I	2025-03-29 18:06:59.595436	94739	75	school	92.28	3	2022-08-20	VI	Standard	management
I	2025-03-29 18:06:59.595440	61254	23	bit	75.17	5	2023-02-04	FL	Overnight	management
I	2025-03-29 18:06:59.595443	11555	44	marketing	18.12	4	2022-05-30	CT	Overnight	search
I	2025-03-29 18:06:59.595447	24905	53	marketing	33.55	1	2024-01-06	PW	3-Day	others
I	2025-03-29 18:06:59.595451	75526	30	marketing	76.09	2	2021-11-06	SC	Standard	trouble
I	2025-03-29 18:06:59.595455	24598	24	marketing	83.04	1	2023-09-24	VI	3-Day	others
I	2025-03-29 18:06:59.595458	62570	80	marketing	87.36	1	2022-05-09	NY	2-Day	book
I	2025-03-29 18:06:59.595462	55997	24	marketing	97.63	3	2022-10-25	VI	2-Day	book
I	2025-03-29 18:06:59.595465	71805	94	school	40.12	1	2023-01-27	FL	2-Day	others
I	2025-03-29 18:06:59.595469	24321	87	language	73.73	4	2023-09-21	CA	2-Day	trouble
I	2025-03-29 18:06:59.595472	16929	78	degree	81.57	3	2024-03-20	FL	3-Day	search
I	2025-03-29 18:06:59.595476	57684	20	school	61.39	1	2021-08-02	TX	3-Day	search
I	2025-03-29 18:06:59.595480	39382	28	marketing	64.59	5	2022-05-05	CA	2-Day	book
I	2025-03-29 18:06:59.595484	72916	74	degree	52.93	2	2021-12-13	CT	3-Day	trouble
I	2025-03-29 18:06:59.595487	68286	46	school	23.63	5	2021-08-23	CT	Standard	book
I	2025-03-29 18:06:59.595491	95559	47	language	13.32	2	2024-10-31	SC	Overnight	book
I	2025-03-29 18:06:59.595495	97453	90	degree	48.06	2	2021-12-18	VI	Standard	play
I	2025-03-29 18:06:59.595498	27771	48	language	37.79	5	2021-03-19	VI	2-Day	play
I	2025-03-29 18:06:59.595502	18692	63	bit	39.3	1	2022-04-03	SC	Standard	book
I	2025-03-29 18:06:59.595505	47104	90	school	37.14	3	2023-02-09	PW	Standard	search
I	2025-03-29 18:06:59.595509	35666	21	degree	73.83	5	2024-01-29	NY	Overnight	management
I	2025-03-29 18:06:59.595513	12780	23	market	56.89	2	2023-05-27	SC	2-Day	trouble
I	2025-03-29 18:06:59.595517	19463	87	bit	58.21	5	2022-08-17	FL	Standard	trouble
I	2025-03-29 18:06:59.595520	75935	51	school	55.56	3	2023-04-17	FL	Overnight	book
I	2025-03-29 18:06:59.595524	76021	25	school	67.15	5	2021-12-16	VI	2-Day	trouble
I	2025-03-29 18:06:59.595528	90991	60	language	10.28	4	2023-11-03	TX	2-Day	others
I	2025-03-29 18:06:59.595531	34683	98	degree	22.39	2	2024-02-07	VI	2-Day	management
I	2025-03-29 18:06:59.595535	69145	69	market	51.56	4	2022-08-17	CT	2-Day	search
I	2025-03-29 18:06:59.595538	46287	24	market	37.8	5	2022-12-24	CT	2-Day	management
I	2025-03-29 18:06:59.595542	86384	51	degree	79.77	5	2024-01-20	VI	Overnight	trouble
I	2025-03-29 18:06:59.595546	87215	55	degree	60.22	2	2023-02-14	NY	2-Day	play
I	2025-03-29 18:06:59.595550	37842	57	degree	53.85	1	2023-09-27	FL	Overnight	play
I	2025-03-29 18:06:59.595553	95636	63	language	30.03	5	2023-11-26	TX	3-Day	book
I	2025-03-29 18:06:59.595558	16082	12	market	35.37	4	2023-02-12	NY	Standard	others
I	2025-03-29 18:06:59.595561	27131	42	degree	24.92	3	2023-11-18	SC	3-Day	management
I	2025-03-29 18:06:59.595565	60817	98	school	42.97	1	2023-10-30	VI	2-Day	search
I	2025-03-29 18:06:59.595568	75980	58	degree	97.36	1	2024-09-17	CA	2-Day	play
I	2025-03-29 18:06:59.595572	92453	58	bit	71.25	2	2024-02-11	CT	2-Day	book
I	2025-03-29 18:06:59.595576	57703	51	marketing	66.63	2	2021-11-24	CT	Standard	book
I	2025-03-29 18:06:59.595580	11087	32	market	23.82	4	2024-05-29	NY	3-Day	management
I	2025-03-29 18:06:59.595583	81282	95	bit	36.97	1	2023-12-21	VI	Standard	management
I	2025-03-29 18:06:59.595587	56553	31	degree	66.18	2	2022-02-07	CT	3-Day	others
I	2025-03-29 18:06:59.595590	94191	86	bit	63.11	2	2023-06-20	CA	Overnight	book
I	2025-03-29 18:06:59.595594	85398	97	degree	46.54	2	2022-08-10	NY	3-Day	others
I	2025-03-29 18:06:59.595598	69174	44	school	14.17	5	2023-11-03	PW	3-Day	management
I	2025-03-29 18:06:59.595601	96844	87	marketing	84.45	4	2024-05-23	CT	3-Day	book
I	2025-03-29 18:06:59.595605	75390	91	bit	27.2	4	2024-08-25	SC	Overnight	search
I	2025-03-29 18:06:59.595609	31221	67	language	53.33	1	2024-10-16	VI	Standard	others
I	2025-03-29 18:06:59.595613	51751	83	school	28.44	2	2022-03-31	CA	2-Day	play
I	2025-03-29 18:06:59.595617	13457	65	market	78.01	1	2021-06-01	VI	3-Day	search
I	2025-03-29 18:06:59.595621	79435	47	bit	54.42	3	2023-04-01	FL	3-Day	trouble
I	2025-03-29 18:06:59.595625	61434	50	market	50.69	3	2022-03-14	FL	3-Day	management
I	2025-03-29 18:06:59.595629	81025	99	marketing	22.09	4	2022-06-17	NY	3-Day	book
I	2025-03-29 18:06:59.595633	19082	34	school	92.16	5	2024-04-01	TX	2-Day	management
I	2025-03-29 18:06:59.595636	98970	78	language	93.56	4	2021-03-03	TX	3-Day	book
I	2025-03-29 18:06:59.595641	49021	96	marketing	41.52	4	2021-10-30	CA	Standard	book
