Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
U	2025-03-29 18:06:59.594111	30524	36	marketing	53.729199554412595	1	2021-01-23	PW	Standard	play
U	2025-03-29 18:06:59.593903	71294	94	marketing	67.31454480994387	1	2022-03-31	PW	Standard	trouble
U	2025-03-29 18:06:59.594125	48291	75	marketing	104.69748355917062	4	2022-11-01	PW	Standard	trouble
U	2025-03-29 18:06:59.594053	33094	44	marketing	61.072977186086874	3	2024-07-29	VI	3-Day	others
U	2025-03-29 18:06:59.593829	35066	63	marketing	44.48646287987759	2	2024-06-02	CT	2-Day	play
U	2025-03-29 18:06:59.593877	72044	82	marketing	91.22118036553506	2	2022-10-31	SC	2-Day	management
U	2025-03-29 18:06:59.594027	18505	82	marketing	70.16446160027866	3	2023-11-27	FL	3-Day	play
U	2025-03-29 18:06:59.594016	10304	75	marketing	47.05653832914224	5	2023-05-09	VI	Overnight	search
U	2025-03-29 18:06:59.594060	88352	39	business	46.31801692329928	3	2021-01-21	CA	Standard	search
U	2025-03-29 18:06:59.593815	47672	56	marketing	36.024329793180065	3	2022-04-26	CT	2-Day	trouble
U	2025-03-29 18:06:59.593764	26367	90	marketing	76.48249913372821	5	2022-03-14	VI	Standard	book
U	2025-03-29 18:06:59.593844	33529	52	marketing	34.69889439652729	3	2024-04-26	NY	2-Day	management
U	2025-03-29 18:06:59.594085	77701	96	marketing	49.02645968048508	3	2024-04-17	PW	Standard	management
U	2025-03-29 18:06:59.593800	44903	95	marketing	33.203032808360646	4	2021-07-07	TX	Standard	trouble
U	2025-03-29 18:06:59.594122	47270	76	marketing	90.55051211434014	3	2022-11-13	FL	3-Day	play
U	2025-03-29 18:06:59.593796	58297	17	marketing	97.56305785617741	4	2023-05-02	SC	2-Day	trouble
U	2025-03-29 18:06:59.593926	67577	13	marketing	53.07547661358206	4	2022-03-13	FL	3-Day	management
U	2025-03-29 18:06:59.593837	51819	47	business	53.05308198538087	3	2021-01-03	CT	Standard	others
U	2025-03-29 18:06:59.594075	33403	23	marketing	17.983966481805545	3	2024-07-20	CA	Standard	book
U	2025-03-29 18:06:59.594129	12538	27	marketing	23.998953541848316	1	2022-07-17	NY	Standard	search
