Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
U	2025-03-29 18:06:59.587874	81585	98	marketing	98.71986674449919	2	2022-02-19	CT	Overnight	management
U	2025-03-29 18:06:59.587805	55569	41	business	15.291997143132525	2	2024-05-19	CA	Overnight	management
U	2025-03-29 18:06:59.587783	90681	26	marketing	17.24645163154744	4	2021-02-24	FL	2-Day	search
U	2025-03-29 18:06:59.587867	83539	89	marketing	47.94294734477604	4	2021-09-04	PW	Standard	play
U	2025-03-29 18:06:59.587631	23718	53	business	79.52276910317167	3	2023-09-01	FL	Standard	others
U	2025-03-29 18:06:59.587845	48440	79	business	30.015737561676854	3	2024-05-28	PW	Overnight	play
U	2025-03-29 18:06:59.587765	43710	45	marketing	86.9880963630121	2	2021-03-11	CT	Overnight	book
U	2025-03-29 18:06:59.587900	23423	48	marketing	65.77884123415095	4	2022-02-28	CA	3-Day	search
U	2025-03-29 18:06:59.587911	41824	52	marketing	56.37206100532116	1	2024-07-16	NY	Overnight	others
U	2025-03-29 18:06:59.587904	84578	96	marketing	83.24178407930935	4	2023-08-06	CT	3-Day	management
U	2025-03-29 18:06:59.587908	12459	66	marketing	100.71321443017963	3	2023-01-08	NY	2-Day	search
U	2025-03-29 18:06:59.587978	62696	33	marketing	35.72387052138354	1	2022-09-08	CA	3-Day	others
U	2025-03-29 18:06:59.587963	12430	97	business	46.66278703965123	2	2023-02-28	FL	3-Day	book
U	2025-03-29 18:06:59.587923	11047	53	marketing	46.17171147149503	2	2023-12-29	PW	Standard	search
U	2025-03-29 18:06:59.587787	50181	56	marketing	29.80614603745664	4	2023-01-17	SC	Overnight	management
U	2025-03-29 18:06:59.587885	91321	21	marketing	80.92223895923176	3	2022-01-08	CT	Standard	management
U	2025-03-29 18:06:59.587791	17123	86	marketing	37.83390678535128	5	2024-12-08	CA	Standard	management
U	2025-03-29 18:06:59.587926	36171	42	marketing	35.09072183083719	2	2024-11-05	PW	3-Day	trouble
U	2025-03-29 18:06:59.587642	12652	11	marketing	60.241728766407945	5	2022-05-24	FL	2-Day	book
U	2025-03-29 18:06:59.587762	35246	96	marketing	31.761712694696193	4	2022-07-12	NY	Overnight	book
