Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.587609	40823	63	bit	12.49	5	2023-05-07	FL	2-Day	trouble
I	2025-03-29 18:06:59.587615	41090	10	language	62.85	1	2021-11-18	PW	Standard	others
I	2025-03-29 18:06:59.587619	84527	34	market	22.3	5	2023-07-01	TX	2-Day	search
I	2025-03-29 18:06:59.587623	12524	69	language	48.31	3	2024-05-15	PW	Overnight	management
I	2025-03-29 18:06:59.587627	17799	64	school	47.49	5	2021-08-30	VI	3-Day	play
I	2025-03-29 18:06:59.587631	23718	53	marketing	77.66	3	2023-09-01	FL	Standard	others
I	2025-03-29 18:06:59.587635	97508	69	market	18.32	4	2021-12-16	CT	Standard	play
I	2025-03-29 18:06:59.587639	25224	15	language	55.18	5	2022-10-27	PW	3-Day	others
I	2025-03-29 18:06:59.587642	12652	11	bit	56.53	5	2022-05-24	FL	2-Day	book
I	2025-03-29 18:06:59.587646	10078	48	degree	93.85	2	2024-08-07	SC	Overnight	management
I	2025-03-29 18:06:59.587650	95705	12	language	96.88	3	2023-10-03	TX	3-Day	others
I	2025-03-29 18:06:59.587653	61416	32	school	24.92	4	2024-02-28	PW	3-Day	book
I	2025-03-29 18:06:59.587657	41245	84	language	23.08	2	2024-04-29	VI	Standard	others
I	2025-03-29 18:06:59.587661	47256	47	market	79.14	3	2024-02-07	FL	2-Day	others
I	2025-03-29 18:06:59.587665	74277	44	marketing	29.02	2	2022-12-09	VI	2-Day	management
I	2025-03-29 18:06:59.587668	79230	22	bit	71.63	2	2023-01-15	CT	Standard	trouble
I	2025-03-29 18:06:59.587672	56045	63	language	12.19	2	2023-04-16	TX	Standard	book
I	2025-03-29 18:06:59.587676	18914	16	market	75.54	2	2022-02-14	CA	3-Day	others
I	2025-03-29 18:06:59.587679	14400	37	degree	18.2	5	2024-07-14	CA	Standard	book
I	2025-03-29 18:06:59.587683	19107	22	degree	72.34	4	2024-05-10	PW	2-Day	play
I	2025-03-29 18:06:59.587687	55657	70	bit	16.03	1	2022-05-10	FL	Standard	trouble
I	2025-03-29 18:06:59.587690	97341	39	marketing	77.04	3	2021-08-16	CA	Overnight	search
I	2025-03-29 18:06:59.587694	99873	66	school	46.69	3	2023-05-17	FL	Standard	others
I	2025-03-29 18:06:59.587698	30201	96	school	16.63	3	2022-11-04	CT	2-Day	search
I	2025-03-29 18:06:59.587702	75378	99	language	42.2	2	2021-03-11	CT	Standard	management
I	2025-03-29 18:06:59.587705	12601	53	language	38.96	1	2023-11-18	CT	3-Day	management
