Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.593764	26367	90	bit	74.66	5	2022-03-14	VI	Standard	book
I	2025-03-29 18:06:59.593769	57593	46	market	91.15	5	2022-08-26	PW	Overnight	management
I	2025-03-29 18:06:59.593773	84639	47	language	95.27	1	2023-03-02	TX	Overnight	search
I	2025-03-29 18:06:59.593777	55294	35	marketing	90.02	4	2022-08-10	FL	3-Day	others
I	2025-03-29 18:06:59.593781	69509	68	marketing	87.8	4	2022-08-20	FL	3-Day	search
I	2025-03-29 18:06:59.593785	57843	70	school	98.71	5	2021-09-27	NY	2-Day	play
I	2025-03-29 18:06:59.593789	84846	68	degree	97.13	4	2021-12-27	FL	3-Day	book
I	2025-03-29 18:06:59.593792	99586	58	market	50.42	1	2021-10-25	SC	2-Day	book
I	2025-03-29 18:06:59.593796	58297	17	bit	95.66	4	2023-05-02	SC	2-Day	trouble
I	2025-03-29 18:06:59.593800	44903	95	school	29.89	4	2021-07-07	TX	Standard	trouble
I	2025-03-29 18:06:59.593804	79146	40	language	12.33	2	2022-02-08	CT	Overnight	book
I	2025-03-29 18:06:59.593808	26452	75	bit	93.7	1	2022-07-23	CA	Standard	play
I	2025-03-29 18:06:59.593811	44544	88	market	25.73	3	2022-10-16	PW	Overnight	others
I	2025-03-29 18:06:59.593815	47672	56	degree	33.27	3	2022-04-26	CT	2-Day	trouble
I	2025-03-29 18:06:59.593819	99727	56	market	44.18	2	2022-10-26	NY	2-Day	management
I	2025-03-29 18:06:59.593822	69140	62	language	43.37	2	2024-06-18	VI	2-Day	trouble
I	2025-03-29 18:06:59.593826	41216	81	marketing	98.81	1	2024-01-30	VI	Standard	others
I	2025-03-29 18:06:59.593829	35066	63	degree	41.66	2	2024-06-02	CT	2-Day	play
I	2025-03-29 18:06:59.593833	63265	82	language	23.07	2	2021-10-14	CA	2-Day	trouble
I	2025-03-29 18:06:59.593837	51819	47	marketing	51.12	3	2021-01-03	CT	Standard	others
I	2025-03-29 18:06:59.593840	41669	53	bit	77.51	2	2022-10-08	NY	3-Day	management
I	2025-03-29 18:06:59.593844	33529	52	school	32.95	3	2024-04-26	NY	2-Day	management
I	2025-03-29 18:06:59.593848	80970	71	marketing	43.3	3	2022-07-02	NY	3-Day	others
I	2025-03-29 18:06:59.593852	55192	40	school	13.53	2	2021-11-19	NY	3-Day	play
I	2025-03-29 18:06:59.593855	43020	67	market	51.14	1	2022-01-23	FL	Standard	others
I	2025-03-29 18:06:59.593859	67647	30	degree	53.89	5	2021-03-06	CT	Overnight	book
I	2025-03-29 18:06:59.593862	72265	74	language	62.74	2	2022-08-21	PW	2-Day	others
I	2025-03-29 18:06:59.593866	51048	10	language	36.57	5	2024-01-22	TX	3-Day	play
I	2025-03-29 18:06:59.593870	49754	82	language	61.4	4	2024-01-24	FL	2-Day	book
I	2025-03-29 18:06:59.593873	73177	72	degree	35.6	5	2023-10-18	PW	Overnight	play
