Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
U	2025-03-29 18:06:59.584547	20198	24	business	64.6031898913306	3	2024-07-19	SC	2-Day	others
U	2025-03-29 18:06:59.584396	12494	47	marketing	65.76186877043301	4	2024-10-04	SC	Overnight	play
U	2025-03-29 18:06:59.584309	99903	63	marketing	88.88438592796739	5	2022-12-18	PW	Overnight	trouble
U	2025-03-29 18:06:59.584451	69089	48	business	77.51192856689909	2	2021-04-29	FL	2-Day	search
U	2025-03-29 18:06:59.584399	18973	53	business	51.22915741318645	5	2023-08-13	FL	2-Day	management
U	2025-03-29 18:06:59.584581	99366	29	marketing	13.041797676687604	3	2021-04-30	PW	Overnight	management
U	2025-03-29 18:06:59.584543	11692	92	marketing	35.1268505234768	5	2022-05-19	CT	Standard	management
U	2025-03-29 18:06:59.584342	54561	66	marketing	32.98369104919897	5	2023-06-02	CA	Standard	management
U	2025-03-29 18:06:59.584331	10928	79	business	54.208942943033406	4	2022-02-22	FL	Standard	trouble
U	2025-03-29 18:06:59.584384	96171	47	marketing	85.91014320888809	4	2023-08-28	CA	3-Day	others
U	2025-03-29 18:06:59.584559	46819	92	marketing	56.39559649515734	1	2021-08-23	VI	2-Day	others
U	2025-03-29 18:06:59.584573	46588	60	marketing	99.64236737782974	4	2021-08-29	PW	Overnight	play
U	2025-03-29 18:06:59.584353	62425	34	marketing	48.56902777579652	2	2024-01-20	NY	Standard	management
U	2025-03-29 18:06:59.584586	83337	53	marketing	52.17524350768733	4	2023-06-27	CT	3-Day	book
U	2025-03-29 18:06:59.584421	21724	12	business	30.002624475925437	4	2024-02-25	CA	Standard	management
U	2025-03-29 18:06:59.584597	85758	89	marketing	39.08098937852079	4	2022-10-29	CA	Standard	others
U	2025-03-29 18:06:59.584313	38794	48	marketing	36.666421474247116	5	2022-12-07	VI	Overnight	book
U	2025-03-29 18:06:59.584626	83455	78	marketing	38.609042287830846	2	2024-01-14	TX	Overnight	search
U	2025-03-29 18:06:59.584281	53465	68	marketing	17.586379533785966	2	2021-12-28	SC	Standard	search
U	2025-03-29 18:06:59.584551	14871	33	marketing	83.88393867127749	5	2021-07-23	CT	Overnight	search
