Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
U	2025-03-29 18:06:59.586166	42865	90	marketing	58.34788149350372	2	2023-10-16	PW	2-Day	book
U	2025-03-29 18:06:59.586023	15400	76	marketing	21.811076896695763	5	2023-09-15	FL	Overnight	book
U	2025-03-29 18:06:59.586221	61622	98	business	49.10603038507803	3	2021-10-30	PW	2-Day	search
U	2025-03-29 18:06:59.586134	90984	42	marketing	41.056274159075706	4	2022-08-06	NY	3-Day	play
U	2025-03-29 18:06:59.586315	86479	93	marketing	69.76656242576104	3	2023-03-23	FL	2-Day	book
U	2025-03-29 18:06:59.586173	76228	45	marketing	95.91199773524659	2	2021-01-01	CA	Overnight	book
U	2025-03-29 18:06:59.586127	74373	67	marketing	53.724775142328156	5	2024-06-14	SC	Overnight	play
U	2025-03-29 18:06:59.586170	76511	60	marketing	69.58902573576272	3	2023-12-01	VI	Overnight	trouble
U	2025-03-29 18:06:59.586308	46802	96	marketing	31.991057355719345	1	2021-08-27	CA	Standard	management
U	2025-03-29 18:06:59.586352	95445	98	marketing	50.67391449594732	4	2024-11-16	FL	Standard	trouble
U	2025-03-29 18:06:59.586359	92956	17	marketing	22.01881626436745	4	2024-03-13	SC	Overnight	management
U	2025-03-29 18:06:59.586209	10601	93	marketing	20.159086400697714	3	2021-10-13	NY	Standard	search
U	2025-03-29 18:06:59.586109	30966	92	business	77.68712885720703	1	2022-07-01	CA	3-Day	book
U	2025-03-29 18:06:59.586355	47603	10	marketing	57.47740334767086	4	2022-11-24	SC	Overnight	search
U	2025-03-29 18:06:59.586236	91926	29	marketing	28.97855394402723	5	2024-11-05	SC	Standard	others
U	2025-03-29 18:06:59.586251	50765	47	marketing	26.15281334990994	1	2024-08-18	CA	Overnight	others
U	2025-03-29 18:06:59.586217	38458	84	marketing	82.96300578627269	2	2024-08-08	TX	Overnight	play
U	2025-03-29 18:06:59.586213	98029	80	marketing	68.27583418587781	3	2023-06-04	CA	Standard	play
U	2025-03-29 18:06:59.586076	86374	35	marketing	13.92310470832868	5	2022-04-16	PW	Overnight	search
U	2025-03-29 18:06:59.586057	56991	88	marketing	35.3605419612739	3	2022-04-13	CT	Overnight	book
