Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.592265	12377	47	market	24.3	1	2022-10-20	PW	2-Day	search
I	2025-03-29 18:06:59.592269	10435	82	bit	23.92	5	2021-07-05	SC	2-Day	book
I	2025-03-29 18:06:59.592273	84129	62	degree	83.72	4	2021-10-15	PW	2-Day	search
I	2025-03-29 18:06:59.592277	63318	34	bit	48.12	5	2023-02-16	NY	Standard	trouble
I	2025-03-29 18:06:59.592281	67259	69	school	18.4	5	2022-07-12	VI	3-Day	others
I	2025-03-29 18:06:59.592285	65237	78	marketing	13.13	4	2023-06-23	FL	Overnight	others
I	2025-03-29 18:06:59.592289	51130	92	degree	33.19	2	2021-06-12	SC	Overnight	others
I	2025-03-29 18:06:59.592292	79689	47	school	42.38	2	2022-07-07	CT	3-Day	trouble
I	2025-03-29 18:06:59.592296	94212	77	market	29.26	5	2022-09-04	FL	3-Day	play
I	2025-03-29 18:06:59.592299	70320	70	school	30.13	5	2023-07-18	SC	Standard	book
I	2025-03-29 18:06:59.592303	47785	10	bit	71.09	2	2024-06-05	VI	2-Day	book
I	2025-03-29 18:06:59.592306	78706	73	bit	55.68	1	2022-04-05	CT	Standard	search
I	2025-03-29 18:06:59.592310	50479	20	bit	46.75	4	2024-06-09	CA	2-Day	others
I	2025-03-29 18:06:59.592313	16571	21	degree	47.61	4	2022-03-06	FL	3-Day	search
I	2025-03-29 18:06:59.592317	79114	30	bit	42.84	3	2021-01-02	NY	Overnight	play
I	2025-03-29 18:06:59.592320	65212	69	marketing	33.14	1	2022-05-20	CA	2-Day	search
I	2025-03-29 18:06:59.592324	13947	52	bit	78.75	3	2024-03-14	FL	3-Day	management
I	2025-03-29 18:06:59.592327	62336	37	marketing	46.63	3	2023-09-06	NY	Standard	others
I	2025-03-29 18:06:59.592331	25222	99	market	26.13	3	2022-02-12	CT	Overnight	trouble
I	2025-03-29 18:06:59.592334	99683	55	market	92.56	5	2022-10-04	CA	Overnight	trouble
I	2025-03-29 18:06:59.592338	83812	69	market	62.28	5	2024-07-11	PW	2-Day	others
I	2025-03-29 18:06:59.592342	35143	12	market	90.35	3	2023-01-06	NY	2-Day	play
I	2025-03-29 18:06:59.592345	39829	14	bit	21.94	1	2021-06-05	TX	Overnight	others
I	2025-03-29 18:06:59.592349	95563	64	marketing	12.86	1	2022-02-14	PW	2-Day	play
I	2025-03-29 18:06:59.592352	21580	34	school	71.61	4	2021-07-02	PW	2-Day	trouble
I	2025-03-29 18:06:59.592356	65353	81	marketing	42.31	3	2021-12-30	NY	Overnight	play
I	2025-03-29 18:06:59.592360	91286	44	degree	24.43	4	2021-12-17	PW	Overnight	play
I	2025-03-29 18:06:59.592363	70181	64	bit	69.0	3	2023-06-07	FL	Standard	management
I	2025-03-29 18:06:59.592367	16434	78	language	33.3	2	2021-04-20	FL	Overnight	management
I	2025-03-29 18:06:59.592370	48250	18	degree	77.08	1	2023-10-04	CA	3-Day	search
I	2025-03-29 18:06:59.592374	10866	57	degree	41.51	3	2021-04-25	NY	Overnight	play
I	2025-03-29 18:06:59.592378	43241	26	marketing	72.41	1	2023-06-14	CA	Overnight	others
I	2025-03-29 18:06:59.592381	48136	15	market	12.28	2	2021-09-20	PW	Overnight	management
I	2025-03-29 18:06:59.592385	65360	41	marketing	36.17	5	2023-05-06	TX	Standard	trouble
I	2025-03-29 18:06:59.592389	51051	67	school	36.9	3	2023-06-02	VI	3-Day	others
