Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
I	2025-03-29 18:06:59.584262	63648	33	degree	51.0	5	2023-05-16	CA	2-Day	search
I	2025-03-29 18:06:59.584269	72532	99	school	51.77	3	2021-08-19	PW	2-Day	others
I	2025-03-29 18:06:59.584273	21905	56	degree	91.82	3	2024-06-12	PW	2-Day	play
I	2025-03-29 18:06:59.584278	87510	42	school	17.14	1	2022-05-25	CA	Overnight	management
I	2025-03-29 18:06:59.584281	53465	68	bit	14.35	2	2021-12-28	SC	Standard	search
I	2025-03-29 18:06:59.584286	82064	37	language	91.94	1	2021-10-04	VI	2-Day	play
I	2025-03-29 18:06:59.584290	37476	30	bit	52.83	4	2024-05-24	FL	Overnight	management
I	2025-03-29 18:06:59.584294	49999	86	market	58.67	3	2022-12-01	NY	Overnight	management
I	2025-03-29 18:06:59.584297	56769	10	degree	45.86	3	2023-02-03	NY	Overnight	play
I	2025-03-29 18:06:59.584301	37488	62	marketing	88.89	2	2022-01-21	CT	Overnight	search
I	2025-03-29 18:06:59.584305	16572	47	marketing	64.43	1	2024-07-02	NY	Overnight	trouble
I	2025-03-29 18:06:59.584309	99903	63	bit	86.7	5	2022-12-18	PW	Overnight	trouble
I	2025-03-29 18:06:59.584313	38794	48	school	33.86	5	2022-12-07	VI	Overnight	book
I	2025-03-29 18:06:59.584316	50623	76	marketing	63.34	2	2024-08-16	VI	Standard	book
I	2025-03-29 18:06:59.584320	97586	18	marketing	88.92	3	2022-05-22	PW	Standard	others
I	2025-03-29 18:06:59.584324	15024	20	marketing	97.57	3	2021-06-07	NY	Overnight	book
I	2025-03-29 18:06:59.584328	67077	66	market	60.03	1	2024-09-14	FL	Standard	book
I	2025-03-29 18:06:59.584331	10928	79	marketing	50.24	4	2022-02-22	FL	Standard	trouble
I	2025-03-29 18:06:59.584335	36154	38	language	10.27	5	2024-12-13	PW	Standard	trouble
I	2025-03-29 18:06:59.584339	24733	25	market	27.07	5	2023-01-30	TX	2-Day	trouble
I	2025-03-29 18:06:59.584342	54561	66	language	28.71	5	2023-06-02	CA	Standard	management
I	2025-03-29 18:06:59.584346	34482	22	market	42.82	4	2024-05-31	CT	Overnight	trouble
I	2025-03-29 18:06:59.584350	52699	64	language	19.8	3	2022-08-12	VI	3-Day	management
I	2025-03-29 18:06:59.584353	62425	34	language	45.72	2	2024-01-20	NY	Standard	management
I	2025-03-29 18:06:59.584357	91906	60	market	36.71	4	2024-01-26	FL	Standard	play
