Op	replicadmstimestamp	invoiceid	itemid	category	price	quantity	orderdate	destinationstate	shippingtype	referral
U	2025-03-29 18:06:59.592584	87878	88	marketing	81.42639369049063	3	2023-02-13	PW	Standard	search
U	2025-03-29 18:06:59.592522	61916	80	marketing	22.10171596187367	5	2024-07-03	FL	Standard	management
U	2025-03-29 18:06:59.592577	19967	26	marketing	17.571259716235247	5	2024-10-28	SC	2-Day	management
U	2025-03-29 18:06:59.592273	84129	62	marketing	85.83844407042942	4	2021-10-15	PW	2-Day	search
U	2025-03-29 18:06:59.592526	43015	52	business	83.69929671376157	3	2021-02-21	SC	2-Day	trouble
U	2025-03-29 18:06:59.592457	44586	95	marketing	42.97995041727253	1	2024-11-01	VI	3-Day	search
U	2025-03-29 18:06:59.592356	65353	81	business	43.610099430614575	3	2021-12-30	NY	Overnight	play
U	2025-03-29 18:06:59.592515	88775	76	marketing	92.33828200981102	5	2023-01-13	TX	2-Day	trouble
U	2025-03-29 18:06:59.592461	83283	90	marketing	26.729839984519465	3	2022-01-15	FL	Overnight	search
U	2025-03-29 18:06:59.592342	35143	12	marketing	94.04477073964283	3	2023-01-06	NY	2-Day	play
U	2025-03-29 18:06:59.592421	19124	79	marketing	65.68669656955397	3	2024-03-30	SC	2-Day	others
U	2025-03-29 18:06:59.592479	93236	50	marketing	70.07309313742459	1	2024-09-16	VI	3-Day	book
U	2025-03-29 18:06:59.592570	56459	51	marketing	50.35533063780488	5	2023-04-12	PW	2-Day	trouble
U	2025-03-29 18:06:59.592607	63986	84	marketing	15.869333793009599	3	2021-10-18	NY	3-Day	play
U	2025-03-29 18:06:59.592289	51130	92	marketing	37.63883647225284	2	2021-06-12	SC	Overnight	others
U	2025-03-29 18:06:59.592334	99683	55	marketing	93.88065917123674	5	2022-10-04	CA	Overnight	trouble
U	2025-03-29 18:06:59.592443	75325	45	marketing	97.38318152519386	1	2024-06-17	FL	2-Day	play
U	2025-03-29 18:06:59.592363	70181	64	marketing	71.75789199761952	3	2023-06-07	FL	Standard	management
U	2025-03-29 18:06:59.592489	20218	67	marketing	62.725439069501505	1	2023-03-17	SC	Overnight	book
U	2025-03-29 18:06:59.592621	15226	84	marketing	98.45428932450292	5	2024-02-02	TX	2-Day	management
